id,latitude,longitude,addresses,qv_list,svg_x_whole,svg_y_whole,svg_x_njesia,svg_y_njesia,in_njesia,njesia_name
31,41.3456666623681,19.835946368188115,"Shkolla ""Ramazan Jarani""","1802/00, 1802/01, 1802/02",0.206571,0.193678,0.066534,0.027569,true,Njësia 4
32,41.3448777563064,19.83710701236862,"Rruga e "" Dibres "" Kopshti Nr 39","1809/00, 1809/01",0.207443,0.194467,0.067405,0.028358,true,Njësia 4
33,41.317333597947886,19.815618277792545,"Shkolla ""P.N. Luarasi"",Rr ""Sami Frasheri""","1730/02, 1827/00, 1827/01, 1827/02, 1827/03",0.191303,0.222011,0.051269,0.055902,true,Njësia 5
34,41.324011344907525,19.83139381236762,"Shkolla 9 Vjeçare ''Mihal Grameno"",Rr. ''Mihal Grameno""","1709/01, 1709/02, 1713/00, 1713/01, 1714/00, 1714/01, 1714/02, 1714/03, 1716/00",0.203152,0.215333,0.063115,0.049224,true,Njësia 2
35,41.335042093872964,19.819909853731474,"Shkolla ""Lidhja e Prizrenit""","1964/00, 1964/01, 1971/00, 1971/01",0.194527,0.204302,0.054492,0.038193,true,Njësia 9
36,41.31955620929523,19.85711291813247,"Kontenier.Rr ""Maliq Çollaku""","1725/01, 2080/02",0.222469,0.219788,0.082427,0.053679,false,
37,41.321926978588486,19.825159097023086,"Liceu Artistik  ''Jordan Misja'', Rr. ""Elbasanit""","1728/00, 1730/00",0.198469,0.217417,0.058433,0.051309,true,Njësia 2
38,41.32207807819627,19.829843197023063,"Shkolla 9 Vjeçare ""Osman Myderizi"", Rr. ""Drago Siliqi""","1720/00, 1720/01, 1720/02, 1725/00, 1725/02",0.201987,0.217266,0.061951,0.051157,true,Njësia 2
39,41.32494774224665,19.83098272771209,"Çerdhja Nr.54,Rr. ""Dalip Zavalani""","1708/00, 1708/01",0.202843,0.214397,0.062806,0.048288,true,Njësia 2
40,41.33921613467219,19.781812259635448,"Rr. ""Berit Beker"" amb sherbimi Medi Cara",1882/02,0.165913,0.200128,0.025885,0.034019,true,Njësia 7
41,41.32468518574623,19.815966656548134,"Sh ""D Distria""","1979/00, 1980/00, 1980/01, 1981/00, 1981/01, 1985/00",0.191565,0.214659,0.051531,0.048550,true,Njësia 10
42,41.346154270169016,19.83814584305742,"Rruga ""Niko Avrami "" Shkolla "" Bajram Curri""","1804/01, 1805/00",0.208223,0.193190,0.068185,0.027081,true,Njësia 4
43,41.316906449745346,19.802416583531173,"Shkolla ""At Zef Pllumi"",Rr.""Robert Shvarc""","1537/12, 1538/02, 1833/00, 1845/00, 1845/01, 1845/02, 1845/03, 1845/04, 1845/05, 1845/06, 1845/08, 1845/09, 1845/10, 1845/11",0.181388,0.222438,0.041356,0.056329,true,Njësia 5
44,41.34611076126924,19.783146870040845,"Shkolla 9-vjeçare ""Skënder Luarasi"" Rr. ""V. Noti""","2012/00, 2012/01",0.166915,0.193234,0.026887,0.027125,true,Njësia 11
45,41.32862571786568,19.802051070040104,"""Fakulteti i Inxhinierisë së Ndërtimit""","1910/00, 1910/01, 1911/00, 1911/01",0.181113,0.210719,0.041082,0.044610,true,Njësia 7
